Zip,City,State,Lat,Long
01748,HOPKINTON,MA,42.22445125,-71.52844026
01749,HUDSON,MA,42.39117753,-71.56095195
01752,MARLBOROUGH,MA,42.34947103,-71.54327181
01754,MAYNARD,MA,42.43115376,-71.45339178
01756,MENDON,MA,42.09603732,-71.54982645
01757,MILFORD,MA,42.15169756,-71.52456994
01760,NATICK,MA,42.28715553,-71.35958868
01770,SHERBORN,MA,42.23372724,-71.37911864
01772,SOUTHBOROUGH,MA,42.29336263,-71.52934307
01773,LINCOLN,MA,42.42550878,-71.31386384
01775,STOW,MA,42.43109169,-71.51413061
01776,SUDBURY,MA,42.38364721,-71.42561218
01778,WAYLAND,MA,42.34841212,-71.35754266
01801,WOBURN,MA,42.48527835,-71.15600391
01803,BURLINGTON,MA,42.50479854,-71.19914618
01810,ANDOVER,MA,42.65278026,-71.16041781
01821,BILLERICA,MA,42.55090597,-71.25365366
01824,CHELMSFORD,MA,42.59338908,-71.35697289
01826,DRACUT,MA,42.67683039,-71.31862422
01827,DUNSTABLE,MA,42.67309093,-71.50005272
01830,HAVERHILL,MA,42.7858198,-71.07198193
01832,HAVERHILL,MA,42.77937837,-71.11023525
01833,GEORGETOWN,MA,42.72691959,-70.98013654
01834,GROVELAND,MA,42.75436571,-71.02381
01835,HAVERHILL,MA,42.75803759,-71.0852574
01840,LAWRENCE,MA,42.70754379,-71.15974883
01841,LAWRENCE,MA,42.71162068,-71.1667621
01843,LAWRENCE,MA,42.69109555,-71.15917654
01844,METHUEN,MA,42.72976751,-71.17864455
01845,NORTH ANDOVER,MA,42.6819906,-71.10711885
01850,LOWELL,MA,42.65654813,-71.3049499
01851,LOWELL,MA,42.63140061,-71.33429128
01852,LOWELL,MA,42.63561067,-71.29957456
01854,LOWELL,MA,42.64901637,-71.33720111
01860,MERRIMAC,MA,42.83435596,-71.00324313
01862,NORTH BILLERICA,MA,42.57629791,-71.29112045
01863,NORTH CHELMSFORD,MA,42.63515392,-71.38749349
